short_name,fish_id,time_point,tumor_volume,dt_min,time_in_min,cancer_cells,dpi,PixelSizeX,PixelSizeY,PixelSizeZ,time_in_h,tumor_volume_um
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,0.0,3090102.0,30.0,1440.0,LBT070,1,0.4329,0.4329,1.0184,24.0,589747.8650856231
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,1.0,3157454.0,30.0,1470.0,LBT070,1,0.4329,0.4329,1.0184,24.5,602602.0356629202
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,2.0,3178742.0,30.0,1500.0,LBT070,1,0.4329,0.4329,1.0184,25.0,606664.8635410753
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,3.0,3171308.0,30.0,1530.0,LBT070,1,0.4329,0.4329,1.0184,25.5,605246.080074042
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,4.0,3151162.0,30.0,1560.0,LBT070,1,0.4329,0.4329,1.0184,26.0,601401.2035974679
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,5.0,3010668.0,30.0,1590.0,LBT070,1,0.4329,0.4329,1.0184,26.5,574587.8373858217
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,6.0,2976480.0,30.0,1620.0,LBT070,1,0.4329,0.4329,1.0184,27.0,568063.0365826291
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,7.0,2928835.0,30.0,1650.0,LBT070,1,0.4329,0.4329,1.0184,27.5,558969.9590622091
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,8.0,2961024.0,30.0,1680.0,LBT070,1,0.4329,0.4329,1.0184,28.0,565113.2494873283
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,9.0,2889303.0,30.0,1710.0,LBT070,1,0.4329,0.4329,1.0184,28.5,551425.2525759623
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,10.0,2838312.0,30.0,1740.0,LBT070,1,0.4329,0.4329,1.0184,29.0,541693.5888999474
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,11.0,2774919.0,30.0,1770.0,LBT070,1,0.4329,0.4329,1.0184,29.5,529594.9959048382
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,12.0,2818199.0,30.0,1800.0,LBT070,1,0.4329,0.4329,1.0184,30.0,537855.0104936465
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,13.0,2851991.0,30.0,1830.0,LBT070,1,0.4329,0.4329,1.0184,30.5,544304.2344535589
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,14.0,2762975.0,30.0,1860.0,LBT070,1,0.4329,0.4329,1.0184,31.0,527315.4761671134
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,15.0,2705407.0,30.0,1890.0,LBT070,1,0.4329,0.4329,1.0184,31.5,516328.5880005581
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,16.0,2712157.0,30.0,1920.0,LBT070,1,0.4329,0.4329,1.0184,32.0,517616.82964738004
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,17.0,2757259.0,30.0,1950.0,LBT070,1,0.4329,0.4329,1.0184,32.5,526224.574055523
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,18.0,2773732.0,30.0,1980.0,LBT070,1,0.4329,0.4329,1.0184,33.0,529368.4562256117
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,19.0,2858259.0,30.0,2010.0,LBT070,1,0.4329,0.4329,1.0184,33.5,545500.4861042671
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,20.0,2910711.0,30.0,2040.0,LBT070,1,0.4329,0.4329,1.0184,34.0,555510.9825278387
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,21.0,2922884.0,30.0,2070.0,LBT070,1,0.4329,0.4329,1.0184,34.5,557834.207056248
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,22.0,2910038.0,30.0,2100.0,LBT070,1,0.4329,0.4329,1.0184,35.0,555382.540064385
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,23.0,2874839.0,30.0,2130.0,LBT070,1,0.4329,0.4329,1.0184,35.5,548664.7892900907
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,24.0,3011079.0,30.0,2160.0,LBT070,1,0.4329,0.4329,1.0184,36.0,574666.2769883171
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,25.0,2996715.0,30.0,2190.0,LBT070,1,0.4329,0.4329,1.0184,36.5,571924.8987638799
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,26.0,2890321.0,30.0,2220.0,LBT070,1,0.4329,0.4329,1.0184,37.0,551619.5385013644
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,27.0,2822491.0,30.0,2250.0,LBT070,1,0.4329,0.4329,1.0184,37.5,538674.141330411
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,28.0,2821290.0,30.0,2280.0,LBT070,1,0.4329,0.4329,1.0184,38.0,538444.9297425838
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,29.0,2785603.0,30.0,2310.0,LBT070,1,0.4329,0.4329,1.0184,38.5,531634.0438684894
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,30.0,2795247.0,30.0,2340.0,LBT070,1,0.4329,0.4329,1.0184,39.0,533474.607193223
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,31.0,2686680.0,30.0,2370.0,LBT070,1,0.4329,0.4329,1.0184,39.5,512754.52854573797
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,32.0,2756472.0,30.0,2400.0,LBT070,1,0.4329,0.4329,1.0184,40.0,526074.3746220344
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,0.0,1701554.0,30.0,1440.0,LBT070,1,0.4329,0.4329,1.0184,24.0,324742.6262394906
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,1.0,1665301.0,30.0,1470.0,LBT070,1,0.4329,0.4329,1.0184,24.5,317823.7189176775
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,2.0,1640321.0,30.0,1500.0,LBT070,1,0.4329,0.4329,1.0184,25.0,313056.27057136444
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,3.0,1617369.0,30.0,1530.0,LBT070,1,0.4329,0.4329,1.0184,25.5,308675.8672709409
